judge,authority,hub,in_degree,out_degree
j23,0.04028343821727129,0.04028343821727129,0.2857142857142857,0.2857142857142857
j110,0.06021547840676682,0.06021547840676682,0.38509316770186336,0.38509316770186336
j79,0.03742076760272088,0.03742076760272088,0.2670807453416149,0.2670807453416149
j46,0.012919747898851757,0.012919747898851757,0.18633540372670807,0.18633540372670807
j148,0.04230090914501059,0.04230090914501059,0.2795031055900621,0.2795031055900621
j115,0.037580792051279774,0.037580792051279774,0.2484472049689441,0.2484472049689441
j126,0.06149907151080062,0.06149907151080062,0.33540372670807456,0.33540372670807456
j5,0.028317377901206843,0.028317377901206843,0.3105590062111801,0.3105590062111801
j127,0.025192806354853943,0.025192806354853943,0.22981366459627328,0.22981366459627328
j106,0.04796251558971334,0.04796251558971334,0.3167701863354037,0.3167701863354037
j65,0.04995971007024229,0.04995971007024229,0.37888198757763975,0.37888198757763975
j68,0.04993086209421892,0.04993086209421892,0.3105590062111801,0.3105590062111801
j81,0.04774752542684038,0.04774752542684038,0.37267080745341613,0.37267080745341613
j142,0.04229950611325829,0.04229950611325829,0.2919254658385093,0.2919254658385093
j103,0.03332563579559796,0.03332563579559796,0.2795031055900621,0.2795031055900621
j116,0.004497764362929553,0.004497764362929553,0.14285714285714285,0.14285714285714285
j19,0.02494544810730195,0.02494544810730195,0.22981366459627328,0.22981366459627328
j1,0.026128904736115937,0.026128904736115937,0.2795031055900621,0.2795031055900621
j61,0.012760167643205112,0.012760167643205112,0.18633540372670807,0.18633540372670807
j75,0.028682682358364596,0.028682682358364596,0.22981366459627328,0.22981366459627328
j157,0.01120267380893827,0.01120267380893827,0.20496894409937888,0.20496894409937888
j129,0.024229769843305684,0.024229769843305684,0.22981366459627328,0.22981366459627328
j123,0.02919907708715129,0.02919907708715129,0.2546583850931677,0.2546583850931677
j27,0.012760167643205112,0.012760167643205112,0.18633540372670807,0.18633540372670807
j28,-3.7754438389352708e-06,-3.7754438389352708e-06,0.09316770186335403,0.09316770186335403
j12,0.00015548033080184766,0.00015548033080184766,0.2732919254658385,0.2732919254658385
j14,0.0001729122094005142,0.0001729122094005142,0.2732919254658385,0.2732919254658385
j8,2.612289369874477e-05,2.612289369874477e-05,0.14285714285714285,0.14285714285714285
j10,0.00018164761666523583,0.00018164761666523583,0.2857142857142857,0.2857142857142857
j63,0.00010046696382576017,0.00010046696382576017,0.18012422360248448,0.18012422360248448
j93,7.04347552789152e-05,7.04347552789152e-05,0.13664596273291926,0.13664596273291926
j159,0.00011283368652127643,0.00011283368652127643,0.19875776397515527,0.19875776397515527
j155,0.0001823218371014424,0.0001823218371014424,0.30434782608695654,0.30434782608695654
j112,6.468898119044987e-06,6.468898119044987e-06,0.08695652173913043,0.08695652173913043
j66,0.00017968788288481497,0.00017968788288481497,0.2484472049689441,0.2484472049689441
j69,0.00012004115728363899,0.00012004115728363899,0.18012422360248448,0.18012422360248448
j77,0.0001844189573332739,0.0001844189573332739,0.2484472049689441,0.2484472049689441
j113,7.820229475207018e-05,7.820229475207018e-05,0.18012422360248448,0.18012422360248448
j132,0.00010202593331592213,0.00010202593331592213,0.2422360248447205,0.2422360248447205
j153,0.006717008980749463,0.006717008980749463,0.2484472049689441,0.2484472049689441
j54,0.027391426818655886,0.027391426818655886,0.22981366459627328,0.22981366459627328
j67,0.031159269075836327,0.031159269075836327,0.2670807453416149,0.2670807453416149
j121,0.0066240209077234975,0.0066240209077234975,0.2732919254658385,0.2732919254658385
j100,0.008736014098627837,0.008736014098627837,0.34782608695652173,0.34782608695652173
j125,0.006528675189166042,0.006528675189166042,0.2236024844720497,0.2236024844720497
j51,0.006049249580177018,0.006049249580177018,0.07453416149068323,0.07453416149068323
j17,0.027435367518511396,0.027435367518511396,0.32919254658385094,0.32919254658385094
j104,0.002285249315898062,0.002285249315898062,0.08695652173913043,0.08695652173913043
j34,0.0031610717119875532,0.0031610717119875532,0.12422360248447205,0.12422360248447205
j39,4.402546195521163e-05,4.402546195521163e-05,0.09937888198757763,0.09937888198757763
j120,4.250329024293089e-06,4.250329024293089e-06,0.07453416149068323,0.07453416149068323
j150,-0.0014106049950280215,-0.0014106049950280215,0.08074534161490683,0.08074534161490683
j143,-0.004854561021281358,-0.004854561021281358,0.17391304347826086,0.17391304347826086
j83,-3.3468252738586665e-06,-3.3468252738586665e-06,0.08695652173913043,0.08695652173913043
j26,1.1911805567016493e-05,1.1911805567016493e-05,0.08695652173913043,0.08695652173913043
j6,1.1911805567016493e-05,1.1911805567016493e-05,0.08695652173913043,0.08695652173913043
j49,1.9046586235164444e-05,1.9046586235164444e-05,0.08695652173913043,0.08695652173913043
j11,8.745276229085289e-06,8.745276229085289e-06,0.09316770186335403,0.09316770186335403
j41,0.006577224818684195,0.006577224818684195,0.15527950310559005,0.15527950310559005
j156,0.0028737222027313348,0.0028737222027313348,0.15527950310559005,0.15527950310559005
j58,0.005173396941312744,0.005173396941312744,0.15527950310559005,0.15527950310559005
j56,0.00512522196293008,0.00512522196293008,0.14906832298136646,0.14906832298136646
j36,6.634044974243075e-06,6.634044974243075e-06,0.09316770186335403,0.09316770186335403
j114,0.0020306125043722217,0.0020306125043722217,0.08695652173913043,0.08695652173913043
j109,-0.0020306125043722217,-0.0020306125043722217,0.08695652173913043,0.08695652173913043
j151,0.003002282360811939,0.003002282360811939,0.12422360248447205,0.12422360248447205
j118,-0.0014863369490461203,-0.0014863369490461203,0.09316770186335403,0.09316770186335403
j55,0.000770733194877435,0.000770733194877435,0.2484472049689441,0.2484472049689441
j9,0.00012866896214620445,0.00012866896214620445,0.14285714285714285,0.14285714285714285
j138,4.7310879368078795e-05,4.7310879368078795e-05,0.14906832298136646,0.14906832298136646
j18,0.000471426905228891,0.000471426905228891,0.14906832298136646,0.14906832298136646
j84,0.003977298144666526,0.003977298144666526,0.3105590062111801,0.3105590062111801
j105,8.100520265960344e-05,8.100520265960344e-05,0.18012422360248448,0.18012422360248448
j53,8.969204237408897e-05,8.969204237408897e-05,0.2111801242236025,0.2111801242236025
j72,3.133217555123228e-05,3.133217555123228e-05,0.15527950310559005,0.15527950310559005
j80,4.367911840850166e-05,4.367911840850166e-05,0.13664596273291926,0.13664596273291926
j102,0.00017019607367849937,0.00017019607367849937,0.13043478260869565,0.13043478260869565
j108,0.00011660167559861047,0.00011660167559861047,0.14285714285714285,0.14285714285714285
j25,2.4663412972588236e-05,2.4663412972588236e-05,0.14285714285714285,0.14285714285714285
j95,5.061310655779365e-05,5.061310655779365e-05,0.20496894409937888,0.20496894409937888
j62,0.0001084590705236039,0.0001084590705236039,0.2546583850931677,0.2546583850931677
j117,-2.876560983050795e-05,-2.876560983050795e-05,0.09316770186335403,0.09316770186335403
j2,0.004396273862481441,0.004396273862481441,0.2981366459627329,0.2981366459627329
j71,0.0015918416484880455,0.0015918416484880455,0.2236024844720497,0.2236024844720497
j128,0.0023580403667211587,0.0023580403667211587,0.22981366459627328,0.22981366459627328
j98,0.0007975238008823,0.0007975238008823,0.2422360248447205,0.2422360248447205
j44,0.0003612763170784941,0.0003612763170784941,0.10559006211180125,0.10559006211180125
j47,0.0031592934720521926,0.0031592934720521926,0.19254658385093168,0.19254658385093168
j124,0.0004272946042747666,0.0004272946042747666,0.19875776397515527,0.19875776397515527
j119,0.003599864727885666,0.003599864727885666,0.22981366459627328,0.22981366459627328
j92,0.005910862335719606,0.005910862335719606,0.2360248447204969,0.2360248447204969
j97,0.00047233198871764935,0.00047233198871764935,0.18633540372670807,0.18633540372670807
j38,0.0008462033908493527,0.0008462033908493527,0.11180124223602485,0.11180124223602485
j78,0.00016854932100077426,0.00016854932100077426,0.19875776397515527,0.19875776397515527
j86,0.001889535170610534,0.001889535170610534,0.2360248447204969,0.2360248447204969
j96,0.00011751295897228924,0.00011751295897228924,0.20496894409937888,0.20496894409937888
j158,0.00027297821666956597,0.00027297821666956597,0.30434782608695654,0.30434782608695654
j33,0.00010503794176815707,0.00010503794176815707,0.17391304347826086,0.17391304347826086
j154,0.000116683461647071,0.000116683461647071,0.21739130434782608,0.21739130434782608
j131,7.942518174442534e-05,7.942518174442534e-05,0.21739130434782608,0.21739130434782608
j29,-3.6888195616591444e-06,-3.6888195616591444e-06,0.08695652173913043,0.08695652173913043
j160,1.794574727495133e-05,1.794574727495133e-05,0.09316770186335403,0.09316770186335403
j60,-1.794574727495133e-05,-1.794574727495133e-05,0.09316770186335403,0.09316770186335403
j43,0.0003901176473561026,0.0003901176473561026,0.11180124223602485,0.11180124223602485
j140,-3.9141318506869035e-05,-3.9141318506869035e-05,0.06832298136645963,0.06832298136645963
j152,0.0005252525417446238,0.0005252525417446238,0.13664596273291926,0.13664596273291926
j15,0.00011725812458443608,0.00011725812458443608,0.08074534161490683,0.08074534161490683
j137,4.825041680338307e-06,4.825041680338307e-06,0.09937888198757763,0.09937888198757763
j145,-0.0007781185908307503,-0.0007781185908307503,0.13664596273291926,0.13664596273291926
j48,0.004039874232944756,0.004039874232944756,0.18633540372670807,0.18633540372670807
j73,0.0008243321057393439,0.0008243321057393439,0.19254658385093168,0.19254658385093168
j37,2.7717234176771987e-05,2.7717234176771987e-05,0.13664596273291926,0.13664596273291926
j40,0.0005251267004710735,0.0005251267004710735,0.13664596273291926,0.13664596273291926
j70,0.00039972398278202687,0.00039972398278202687,0.11180124223602485,0.11180124223602485
j31,5.352126715292083e-05,5.352126715292083e-05,0.024844720496894408,0.024844720496894408
j3,0.004797509934205796,0.004797509934205796,0.14906832298136646,0.14906832298136646
j139,0.004523283181828446,0.004523283181828446,0.14285714285714285,0.14285714285714285
j99,0.004698174212596249,0.004698174212596249,0.16149068322981366,0.16149068322981366
j4,-0.0018523569625249338,-0.0018523569625249338,0.16149068322981366,0.16149068322981366
j52,-0.0007813291325784452,-0.0007813291325784452,0.08695652173913043,0.08695652173913043
j0,0.00116245194166714,0.00116245194166714,0.11801242236024845,0.11801242236024845
j87,0.00016534900082187064,0.00016534900082187064,0.024844720496894408,0.024844720496894408
j133,-7.793871254708823e-05,-7.793871254708823e-05,0.08074534161490683,0.08074534161490683
j13,-4.801660006785428e-06,-4.801660006785428e-06,0.006211180124223602,0.006211180124223602
j88,0.002324500711272358,0.002324500711272358,0.11801242236024845,0.11801242236024845
j89,0.0030512937926100146,0.0030512937926100146,0.09937888198757763,0.09937888198757763
j22,3.3257421676464366e-05,3.3257421676464366e-05,0.09316770186335403,0.09316770186335403
j122,0.003263950604912841,0.003263950604912841,0.12422360248447205,0.12422360248447205
j94,0.0008902053152848628,0.0008902053152848628,0.08695652173913043,0.08695652173913043
j59,5.245728439522504e-06,5.245728439522504e-06,0.07453416149068323,0.07453416149068323
j64,5.245728439522504e-06,5.245728439522504e-06,0.07453416149068323,0.07453416149068323
j7,4.348921082857716e-05,4.348921082857716e-05,0.12422360248447205,0.12422360248447205
j85,0.0018037732663036712,0.0018037732663036712,0.09937888198757763,0.09937888198757763
j76,0.0011831912893310419,0.0011831912893310419,0.09316770186335403,0.09316770186335403
j136,-0.0011831912893310419,-0.0011831912893310419,0.09316770186335403,0.09316770186335403
j144,-2.872998096319415e-05,-2.872998096319415e-05,0.08695652173913043,0.08695652173913043
j107,0.0005908673041215567,0.0005908673041215567,0.08074534161490683,0.08074534161490683
j130,-0.0028943394744823563,-0.0028943394744823563,0.08695652173913043,0.08695652173913043
j134,0.0017010919264219943,0.0017010919264219943,0.09316770186335403,0.09316770186335403
j141,-0.0001337237811776346,-0.0001337237811776346,0.08695652173913043,0.08695652173913043
j21,0.001220256039406083,0.001220256039406083,0.09937888198757763,0.09937888198757763
j35,0.001220256039406083,0.001220256039406083,0.09937888198757763,0.09937888198757763
j16,-3.90057071361156e-06,-3.90057071361156e-06,0.08074534161490683,0.08074534161490683
j91,2.1958298188232044e-06,2.1958298188232044e-06,0.08074534161490683,0.08074534161490683
j147,-2.1958298188232044e-06,-2.1958298188232044e-06,0.08074534161490683,0.08074534161490683
j82,0.0012445095757392067,0.0012445095757392067,0.12422360248447205,0.12422360248447205
j32,0.00046321573029928383,0.00046321573029928383,0.09316770186335403,0.09316770186335403
j30,1.2581450583019989e-05,1.2581450583019989e-05,0.062111801242236024,0.062111801242236024
j50,1.7937581545311508e-05,1.7937581545311508e-05,0.08074534161490683,0.08074534161490683
j135,1.5306750544574992e-05,1.5306750544574992e-05,0.09316770186335403,0.09316770186335403
j101,1.5306750544574992e-05,1.5306750544574992e-05,0.09316770186335403,0.09316770186335403
j149,0.0027235123789269046,0.0027235123789269046,0.09937888198757763,0.09937888198757763
j74,-0.0027235123789269046,-0.0027235123789269046,0.09937888198757763,0.09937888198757763
j24,0.0022793615918144804,0.0022793615918144804,0.09316770186335403,0.09316770186335403
j146,-0.0022793615918144804,-0.0022793615918144804,0.09316770186335403,0.09316770186335403
j90,-0.002276258132771002,-0.002276258132771002,0.09937888198757763,0.09937888198757763
j42,0.00036847419361577867,0.00036847419361577867,0.08695652173913043,0.08695652173913043
j57,-0.0026974270525539,-0.0026974270525539,0.09937888198757763,0.09937888198757763
j45,0.0042091496738058025,0.0042091496738058025,0.09316770186335403,0.09316770186335403
j111,0.0019061073765729059,0.0019061073765729059,0.09316770186335403,0.09316770186335403
j20,-0.0020651950002732837,-0.0020651950002732837,0.09316770186335403,0.09316770186335403
